GCHN v3 temperature data version: ghcnm.tavg.v3.3.0.20170707,,,
StationID,PENANG/BAYAN,50548601000,
FormattedDate,Date,T(degC),Prcp(mm)
1934-01,1934.042,26.5,124
1934-02,1934.125,26.2,121
1934-03,1934.208,26.9,180
1934-04,1934.292,27.2,296
1934-05,1934.375,27.1,354
1934-06,1934.458,27.1,191
1934-07,1934.542,27,146
1934-08,1934.625,26.7,453
1934-09,1934.708,26.5,783
1934-10,1934.792,26.5,375
1934-11,1934.875,25.7,303
1934-12,1934.958,26.7,71
1935-01,1935.042,26.7,133
1935-02,1935.125,27.1,44
1935-03,1935.208,27.7,108
1935-04,1935.292,27.6,227
1935-05,1935.375,27.3,319
1935-06,1935.458,26.8,309
1935-07,1935.542,27,131
1935-08,1935.625,26.7,328
1935-09,1935.708,27.2,167
1935-10,1935.792,26.7,880
1935-11,1935.875,26.6,268
1935-12,1935.958,26.8,154
1936-01,1936.042,26.8,121
1936-02,1936.125,27.3,26
1936-03,1936.208,27.2,178
1936-04,1936.292,27.9,273
1936-05,1936.375,27.6,245
1936-06,1936.458,27,132
1936-07,1936.542,27,249
1936-08,1936.625,26.9,265
1936-09,1936.708,26.8,446
1936-10,1936.792,26.9,355
1936-11,1936.875,27,241
1936-12,1936.958,27,152
1937-01,1937.042,26.9,65
1937-02,1937.125,27.6,38
1937-03,1937.208,27.9,81
1937-04,1937.292,27.5,322
1937-05,1937.375,27.3,280
1937-06,1937.458,27.8,121
1937-07,1937.542,27,220
1937-08,1937.625,27.2,197
1937-09,1937.708,27,368
1937-10,1937.792,26.8,541
1937-11,1937.875,26.9,345
1937-12,1937.958,26.6,38
1938-01,1938.042,27.2,144
1938-02,1938.125,27.3,72
1938-03,1938.208,27.3,176
1938-04,1938.292,27.5,307
1938-05,1938.375,27.6,264
1938-06,1938.458,27.4,117
1938-07,1938.542,27.3,122
1938-08,1938.625,26.7,382
1938-09,1938.708,26.6,238
1938-10,1938.792,26.9,181
1938-11,1938.875,26.6,137
1938-12,1938.958,26.4,76
1939-01,1939.042,26.8,140
1939-02,1939.125,26.6,172
1939-03,1939.208,27.3,161
1939-04,1939.292,27.5,265
1939-05,1939.375,27.2,385
1939-06,1939.458,27.1,247
1939-07,1939.542,27.1,228
1939-08,1939.625,27,314
1939-09,1939.708,26.8,361
1939-10,1939.792,26.3,548
1939-11,1939.875,26.5,354
1939-12,1939.958,27.2,164
