const_code,state,const_name,total_voters,voted_voters,turnout_rate,majority,party_1,candidate_1,vote_1,percent_1,party_2,candidate_2,vote_2,percent_2,party_3,candidate_3,vote_3,percent_3,party_4,candidate_4,vote_4,percent_4,party_5,candidate_5,vote_5,percent_5,party_6,candidate_6,vote_6,percent_6
P.001,Perlis,Padang Besar,"46,096",,,,BN,Zahidi Zainul Abidin,,,PH,Izizam Ibrahim,,,PAS,Mokhtar Senik,,,,,,,,,,,,,,
P.002,Perlis,Kangar,"55,938",,,,BN,Ramli Shariff,,,PH,Noor Amin Ahmad,,,PAS,Mohamad Zahid Ibrahim,,,,,,,,,,,,,,
P.003,Perlis,Arau,"48,187",,,,BN,Shahidan Kassim,,,PH,Abd Rahman Daud,,,PAS,Hashim Jasin,,,,,,,,,,,,,,
P.004,Kedah,Langkawi,"42,697",,,,BN,Nawawi Ahmad,,,PH,Mahathir Mohammad,,,PAS,Zubir Ahmad,,,,,,,,,,,,,,
P.005,Kedah,Jerlun,"54,132",,,,BN,Othman Aziz,,,PH,Mukhriz Mahathir,,,PAS,Abd Ghani Ahmad,,,,,,,,,,,,,,
P.006,Kedah,Kubang Pasu,"73,881",,,,BN,Mohd Johari Baharum,,,PH,Amiruddin Hamzah,,,PAS,Norhafiza Fadzil,,,,,,,,,,,,,,
P.007,Kedah,Padang Terap,"46,644",,,,BN,Mahdzir Khalid,,,PH,Mohd Khairizal Khazali,,,PAS,Mohamad Azam Abd Majid @ Abd Aziz,,,,,,,,,,,,,,
P.008,Kedah,Pokok Sena,"86,892",,,,BN,Said Ali Said Rastan,,,PH,Mahfuz Omar,,,PAS,Muhamad Radhi Mat Din,,,,,,,,,,,,,,
P.009,Kedah,Alor Setar,"80,272",,,,BN,Yoo Wei How,,,PH,Chan Ming Kai,,,PAS,Muhammad Aminur Shafiq Mohamad Abduh,,,,,,,,,,,,,,
P.010,Kedah,Kuala Kedah,"97,753",,,,BN,Abdullah Hasnan Kamaruddin,,,PH,Azman Ismail,,,PAS,Muhammad Riduan Othman,,,,,,,,,,,,,,
P.011,Kedah,Pendang,"74,867",,,,BN,Othman Abdul,,,PH,Wan Saifulruddin Wan Jan,,,PAS,Awang Hashim,,,Independent,Abdul Malik Manaf,,,,,,,,,,
P.012,Kedah,Jerai,"79,976",,,,BN,Jamil Khir Baharom,,,PH,Akramsyah Muammar Ubaidah Sanusi Junid,,,PAS,Sabri Azit,,,,,,,,,,,,,,
P.013,Kedah,Sik,"50,385",,,,BN,Mansor Abd Rahman,,,PH,Azli Uda,,,PAS,Ahmad Tarmizi Sulaiman,,,,,,,,,,,,,,
P.014,Kedah,Merbok,"87,782",,,,BN,Tajul Urus Mat Zain,,,PH,Nor Azrina Surip,,,PAS,Ahmad Fauzi Ramli,,,,,,,,,,,,,,
P.015,Kedah,Sungai Petani,"112,577",,,,BN,Shahanim Mohamad Yusoff,,,PH,Johari Abdul,,,PAS,Shahril Long,,,PRM,Sritharan Pichathu,,,,,,,,,,
P.016,Kedah,Baling,"107,213",,,,BN,Abdul Azeez Abdul Rahim,,,PH,Mohd Taufik Yaacob,,,PAS,Hassan Saad,,,,,,,,,,,,,,
P.017,Kedah,Padang Serai,"84,834",,,,BN,Leong Yong Kong,,,PH,Karupaiya Mutusami,,,PAS,Muhamad Sobri Osman,,,,,,,,,,,,,,
P.018,Kedah,Kulim Bandar Baharu,"66,587",,,,BN,Abd Aziz Sheikh Fadzir,,,PH,Saifuddin Nasution Ismail,,,PAS,Abdul Raman Abdul Razak,,,,,,,,,,,,,,
P.019,Kelantan,Tumpat,"110,924",,,,BN,Wan Johani Wan Hussin,,,PH,Nordin Salleh,,,PAS,Che Abdullah Mat Nawi,,,,,,,,,,,,,,
P.020,Kelantan,Pengkalan Chepa,"75,384",,,,BN,Zaluzi Sulaiman,,,PH,Mohamad Ibrahim,,,PAS,Ahmad Marzuk Shaary,,,,,,,,,,,,,,
P.021,Kelantan,Kota Bahru,"88,708",,,,BN,Fikhran Hamshi Mohamad Fatmi,,,PH,Husam Musa,,,PAS,Takiyuddin Hassan,,,,,,,,,,,,,,
P.022,Kelantan,Pasir Mas,"71,222",,,,BN,Nor Azmawi Ab Rahman @ Bawi,,,PH,Che Ujang Che Daud,,,PAS,Ahmad Fadhli Shaari,,,Independent,Ibrahim Ali,,,,,,,,,,
P.023,Kelantan,Rantau Panjang,"66,115",,,,BN,Abdullah Mat Yassim,,,PH,Wan Shah Jihan Wan Din,,,PAS,Siti Zailah Mohd Yusoff,,,,,,,,,,,,,,
P.024,Kelantan,Kubang Kerian,"82,018",,,,BN,Mohamad Abdul Ghani,,,PH,Abdul Halim Yusof,,,PAS,Tuan Ibrahim Tuan Man,,,,,,,,,,,,,,
P.025,Kelantan,Bachok,"92,606",,,,BN,Awang Adek Hussin,,,PH,Mohd Zulkifli Zakaria,,,PAS,Nik Mohamad Abduh Nik Abdul Aziz,,,,,,,,,,,,,,
P.026,Kelantan,Ketereh,"65,238",,,,BN,Annuar Musa,,,PH,Mohd Radzi Md Jidin,,,PAS,Wan Ismail Wan Jusoh,,,,,,,,,,,,,,
P.027,Kelantan,Tanah Merah,"73,172",,,,BN,Ikmal Hisham Abdul Aziz,,,PH,Mohamad Fauzi Zakaria,,,PAS,Johari Mat,,,,,,,,,,,,,,
P.028,Kelantan,Pasir Puteh,"85,411",,,,BN,Asyraf Wajdi Dusuki,,,PH,Kamarudin Md Nor,,,PAS,Nik Muhd Zawawi Salleh,,,,,,,,,,,,,,
P.029,Kelantan,Machang,"68,387",,,,BN,Ahmad Jazlan Yaakub,,,PH,Sazmi Miah,,,PAS,Zulkifli Mamat,,,,,,,,,,,,,,
P.030,Kelantan,Jeli,"47,470",,,,BN,Mustapa Mohamed ,,,PH,Azran Deraman,,,PAS,Mohamad Hamid,,,,,,,,,,,,,,
