id,state_name,code,name,x,y
1,PERLIS,P001,PADANG BESAR,50,20
2,PERLIS,P002,KANGAR,50,30
3,PERLIS,P003,ARAU,40,30
4,KEDAH,P004,LANGKAWI,10,50
5,KEDAH,P005,JERLUN,40,60
6,KEDAH,P006,KUBANG PASU,50,50
7,KEDAH,P007,PADANG TERAP,60,50
8,KEDAH,P008,POKOK SENA,50,60
9,KEDAH,P009,ALOR SETAR,60,70
10,KEDAH,P010,KUALA KEDAH,50,70
11,KEDAH,P011,PENDANG,30,70
12,KEDAH,P012,JERAI,60,90
13,KEDAH,P013,SIK,70,60
14,KEDAH,P014,MERBOK,80,90
15,KEDAH,P015,SUNGAI PETANI,70,90
16,KEDAH,P016,BALING,80,80
17,KEDAH,P017,PADANG SERAI,80,100
18,KEDAH,P018,KULIM,60,100
19,PULAU PINANG,P041,KEPALA BATAS,40,90
20,PULAU PINANG,P042,TASEK GELUGOR,20,90
21,PULAU PINANG,P043,BAGAN,40,100
22,PULAU PINANG,P044,PERMATANG PAUH,30,100
23,PULAU PINANG,P045,BUKIT MERTAJAM,50,120
24,PULAU PINANG,P046,BATU KAWAN,30,120
25,PULAU PINANG,P047,NIBONG TEBAL,10,120
26,PULAU PINANG,P048,BUKIT BENDERA,-10,90
27,PULAU PINANG,P049,TANJONG,-30,90
28,PULAU PINANG,P050,JELUTONG,-10,100
29,PULAU PINANG,P051,BUKIT GELUGOR,-20,100
30,PULAU PINANG,P052,BAYAN BARU,-30,120
31,PULAU PINANG,P053,BALIK PULAU,-10,120
32,PERAK,P054,GERIK,100,90
33,PERAK,P055,LENGGONG,110,110
34,PERAK,P056,LARUT,100,110
35,PERAK,P057,PARIT BUNTAR,100,120
36,PERAK,P058,BAGAN SERAI,90,120
37,PERAK,P059,BUKIT GANTANG,70,120
38,PERAK,P060,TAIPING,100,130
39,PERAK,P061,PADANG RENGAS,80,130
40,PERAK,P062,SUNGAI SIPUT,60,130
41,PERAK,P063,TAMBUN,40,130
