id,year,parl_code,won_party_code,won_remarks,total,total_electionday,spoilt,unreturned_ballot,race_malay,race_malay_p,race_indian,race_indian_p,race_chinese,race_chinese_p,race_others,race_iban,race_orgulu,race_bidayuh,race_malanau,race_muslimbumiputera,race_nonmuslimbumiputera,race_bumisabah,race_bumisarawak,race_orgasli,analysis
1,2004,P1,UMNO,,33899,28453,672,400,84,0.0,1,0.0,11,0.0,3,0,0,0,0,0,0,0,0,0,
2,2004,P2,UMNO,,40516,32996,548,99,79,0.0,2,0.0,18,0.0,1,0,0,0,0,0,0,0,0,0,
3,2004,P3,UMNO,,38067,32062,533,38,87,0.0,2,0.0,9,0.0,2,0,0,0,0,0,0,0,0,0,
4,2004,P4,UMNO,,27980,22844,560,36,90,0.0,3,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,
5,2004,P5,UMNO,,44148,36822,718,0,90,0.0,0,0.0,9,0.0,1,0,0,0,0,0,0,0,0,0,
6,2004,P6,UMNO,,49594,40602,919,81,84,0.0,4,0.0,10,0.0,1,0,0,0,0,0,0,0,0,0,
7,2004,P7,UMNO,,32412,28094,693,21,92,0.0,1,0.0,2,0.0,6,0,0,0,0,0,0,0,0,0,
8,2004,P8,UMNO,,66072,53035,855,0,78,0.0,3,0.0,19,0.0,1,0,0,0,0,0,0,0,0,0,
9,2004,P9,MCA,,57313,43071,828,186,58,0.0,5,0.0,36,0.0,0,0,0,0,0,0,0,0,0,0,
10,2004,P10,UMNO,,78791,64223,1023,109,77,0.0,2,0.0,21,0.0,0,0,0,0,0,0,0,0,0,0,
11,2004,P11,PAS,,57180,49193,383,0,88,0.0,1,0.0,7,0.0,5,0,0,0,0,0,0,0,0,0,
12,2004,P12,UMNO,,63886,50918,1015,0,77,0.0,6,0.0,16,0.0,0,0,0,0,0,0,0,0,0,0,
13,2004,P13,UMNO,,37036,31682,1287,0,92,0.0,1,0.0,2,0.0,5,0,0,0,0,0,0,0,0,0,
14,2004,P14,UMNO,,57922,44911,1142,70,63,0.0,18,0.0,19,0.0,1,0,0,0,0,0,0,0,0,0,
15,2004,P15,UMNO,,70920,55639,1007,0,58,0.0,11,0.0,31,0.0,1,0,0,0,0,0,0,0,0,0,
16,2004,P16,UMNO,,74698,62202,1109,0,87,0.0,5,0.0,6,0.0,1,0,0,0,0,0,0,0,0,0,
17,2004,P17,MCA,,53925,43297,1075,10,53,0.0,23,0.0,24,0.0,1,0,0,0,0,0,0,0,0,0,
18,2004,P18,UMNO,,50024,38295,1181,494,67,0.0,12,0.0,21,0.0,0,0,0,0,0,0,0,0,0,0,
19,2004,P19,PAS,,70810,55090,1072,0,92,0.0,1,0.0,3,0.0,4,0,0,0,0,0,0,0,0,0,
20,2004,P20,PAS,,44844,35838,818,297,97,0.0,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,
21,2004,P21,UMNO,,61409,46707,768,0,79,0.0,1,0.0,19,0.0,1,0,0,0,0,0,0,0,0,0,
22,2004,P22,PAS,,52771,41395,1396,0,96,0.0,0,0.0,4,0.0,0,0,0,0,0,0,0,0,0,0,
23,2004,P23,PAS,,40956,30023,701,65,98,0.0,0,0.0,1,0.0,1,0,0,0,0,0,0,0,0,0,
24,2004,P24,PAS,,47148,38458,1225,0,98,0.0,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,
25,2004,P25,UMNO,,55319,48009,893,0,98,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,
26,2004,P26,UMNO,,46493,37911,751,276,97,0.0,0,0.0,2,0.0,1,0,0,0,0,0,0,0,0,0,
27,2004,P27,UMNO,,37665,30475,788,440,93,0.0,1,0.0,5,0.0,1,0,0,0,0,0,0,0,0,0,
28,2004,P28,PAS,,57308,51410,1184,266,98,0.0,0,0.0,2,0.0,1,0,0,0,0,0,0,0,0,0,
29,2004,P29,UMNO,,43874,35392,599,0,95,0.0,0,0.0,5,0.0,0,0,0,0,0,0,0,0,0,0,
30,2004,P30,UMNO,,32729,26961,394,0,99,0.0,0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,
31,2004,P31,UMNO,,45259,36665,785,2,92,0.0,2,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,
32,2004,P32,UMNO,,26137,21076,534,0,82,0.0,1,0.0,9,0.0,9,0,0,0,0,0,0,0,0,0,
33,2004,P33,UMNO,,51284,44357,683,0,98,0.0,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,
34,2004,P34,UMNO,,48161,40176,714,236,99,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,
35,2004,P35,UMNO,,52468,46406,713,140,99,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,
36,2004,P36,UMNO,,72259,60845,790,240,88,0.0,1,0.0,12,0.0,0,0,0,0,0,0,0,0,0,0,
37,2004,P37,UMNO,,64367,56855,866,331,98,0.0,0,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,
38,2004,P38,UMNO,,45258,40503,633,56,99,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,
39,2004,P39,UMNO,,55711,48608,708,1,95,0.0,0,0.0,5,0.0,0,0,0,0,0,0,0,0,0,0,
40,2004,P40,UMNO,,66416,58188,1036,273,91,0.0,1,0.0,8,0.0,1,0,0,0,0,0,0,0,0,0,
41,2004,P41,UMNO,,39622,33356,672,0,74,0.0,4,0.0,22,0.0,0,0,0,0,0,0,0,0,0,0,
42,2004,P42,UMNO,,41615,34551,620,92,77,0.0,7,0.0,15,0.0,0,0,0,0,0,0,0,0,0,0,
43,2004,P43,DAP,,57322,43542,961,13,15,0.0,14,0.0,71,0.0,0,0,0,0,0,0,0,0,0,0,
44,2004,P44,PKR,,54041,43734,665,185,68,0.0,6,0.0,26,0.0,0,0,0,0,0,0,0,0,0,0,
45,2004,P45,DAP,,58736,45442,1148,428,19,0.0,9,0.0,73,0.0,0,0,0,0,0,0,0,0,0,0,
46,2004,P46,GERAKAN,,43055,32559,811,0,21,0.0,23,0.0,56,0.0,0,0,0,0,0,0,0,0,0,0,
47,2004,P47,UMNO,,41161,32413,751,21,44,0.0,16,0.0,41,0.0,0,0,0,0,0,0,0,0,0,0,
48,2004,P48,GERAKAN,,65126,46843,998,0,14,0.0,11,0.0,74,0.0,1,0,0,0,0,0,0,0,0,0,
49,2004,P49,DAP,,57902,39793,717,0,5,0.0,9,0.0,86,0.0,0,0,0,0,0,0,0,0,0,0,
50,2004,P50,GERAKAN,,59641,43538,1002,30,20,0.0,12,0.0,68,0.0,0,0,0,0,0,0,0,0,0,0,
51,2004,P51,DAP,,60123,44618,793,28,16,0.0,10,0.0,74,0.0,0,0,0,0,0,0,0,0,0,0,
52,2004,P52,MCA,,55407,41020,1010,1,40,0.0,12,0.0,48,0.0,1,0,0,0,0,0,0,0,0,0,
53,2004,P53,UMNO,,38611,29825,564,30,59,0.0,4,0.0,36,0.0,0,0,0,0,0,0,0,0,0,0,
54,2004,P54,UMNO,,24646,18702,759,1098,67,0.0,5,0.0,20,0.0,8,0,0,0,0,0,0,0,0,0,
55,2004,P55,UMNO,,23159,16531,295,20,78,0.0,2,0.0,18,0.0,1,0,0,0,0,0,0,0,0,0,
56,2004,P56,UMNO,,40150,31393,756,78,86,0.0,7,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,
57,2004,P57,UMNO,,44797,34567,591,41,67,0.0,5,0.0,28,0.0,0,0,0,0,0,0,0,0,0,0,
58,2004,P58,UMNO,,47745,35076,986,54,73,0.0,11,0.0,16,0.0,0,0,0,0,0,0,0,0,0,0,
59,2004,P59,GERAKAN,,53880,38642,886,56,63,0.0,10,0.0,28,0.0,0,0,0,0,0,0,0,0,0,0,
