"id","t","jp","pid","s","kid","kt","i","st","mi","nc","ju","mj","ut"
"105","DATO' Ir HJ MD NASIR BIN IBRAHIM","JURUTERA","1","L","09715","dun","null","KLH","2018-04-28T13:17:03.600Z","2","7580","7903","325"
"389","CHAN WUN HOONG","AHLI PERNIAGAAN","1","L","09714","dun","null","KLH","2018-04-28T13:17:00.343Z","4","6086","23860","366"
"562","DR SAHRUDDIN BIN JAMAL","","37","L","14307","dun","null","MNG","2018-04-28T13:52:43.100Z","1","11665","1273","383"
"159","DATUK HJ. MD JAIS SARDAY","","1","L","15229","dun","null","KLH","2018-04-28T11:45:00.333Z","1","17839","1668","550"
"560","YUSRI BIN ISAHAK","","37","L","04205","dun","null","KLH","2018-04-28T12:38:05.913Z","3","5115","1934","207"
"153","CHIN SIM LAI ","","1","L","15228","dun","null","KLH","2018-04-28T11:44:52.927Z","1","10333","19226","560"
"128","TANG NAI SOON","","1","L","16300","parlimen","null","KLH","2018-04-28T12:36:44.470Z","1","22564","32748","976"
"27","TEH YEOW MENG","","1","L","10225","dun","null","KLH","2018-04-28T13:26:54.693Z","3","7097","30755","375"
"571","DATO DR NOOR AZMI BIN GHAZALI","","1","L","05800","parlimen","null","MNG","2018-04-28T13:22:26.790Z","1","17220","172","865"
"566","Ir. KHAIRIL NIZAM","JURUTERA","2","L","09800","parlimen","null","KLH","2018-04-28T13:16:56.223Z","2","17537","48721","933"
"567","MUHAMMAD IMRAN BIN MUHAMMAD SA'AD","","2","L","05300","parlimen","null","HD","2018-04-28T11:26:02.640Z","1","5298","6464","631"
"4","BUDIMAN BIN MOHD ZOHDI","","1","L","09300","parlimen","null","KLH","2018-04-28T12:26:24.580Z","3","16636","714","564"
"89","KANG MENG FUAT","TIADA","1","L","09700","parlimen","null","KLH","2018-04-28T13:04:40.457Z","1","19501","40657","953"
"9","LIEW YUEN KEONG","BERNIAGA","1","L","10200","parlimen","null","KLH","2018-04-28T13:26:32.050Z","4","19766","68768","1114"
"565","USTAZ MUHAMMAD FAUZI BIN YUSOFF","","2","L","04411","dun","null","KLH","2018-04-28T11:36:49.543Z","2","6727","2981","191"
"569","ISZUREE BIN IBRAHIM","","2","L","05200","parlimen","null","HD","2018-04-28T13:11:25.423Z","4","8757","37751","762"
"584","RAHAMIZON BINTI ABDUL GHANI","","37","P","15433","dun","null","KLH","2018-04-28T11:45:08.853Z","1","6544","5765","550"
"570","TANG HIANG LYE","","9","L","04617","dun","null","HD","2018-04-28T12:45:54.070Z","4","53","8558","215"
"588","DATO' SHAM BIN MAT SAHAT","","1","L","05810","dun","null","MNG","2018-04-28T12:17:30.603Z","2","6556","1162","336"
"578","DATO' RASHIDI IBRAHIM","","1","L","07451","dun","null","KLH","2018-04-28T13:03:29.927Z","1","12904","1219","470"
"160","ALWIYAH TALIB","","1","P","15432","dun","null","MNG","2018-04-28T11:45:05.007Z","1","7136","3080","343"
"593","ZAINI BIN CHA","","1","L","05811","dun","null","KLH","2018-04-28T13:22:09.833Z","2","5541","1903","258"
"76","USTAZ AHMAD DUSUKI","","2","L","10840","dun","null","KLH","2018-04-28T12:24:04.073Z","3","9943","17004","279"
"129","ALI MAZAT BIN SALLEH","","1","L","16350","dun","null","KLH","2018-04-28T12:35:07.397Z","3","8467","2531","278"
"581","SHAHRUL ZAMAN BIN YAHYA","","1","L","07553","dun","null","MNG","2018-04-28T12:18:41.347Z","1","6529","3069","281"
"579","RAJA NONG CHIK","BERNIAGA","1","L","12100","parlimen","null","KLH","2018-04-28T11:32:28.560Z","2","27715","5598","538"
"595","ZAIDY BIN ABDUL TALIB","TIADA","2","L","09715","dun","null","KLH","2018-04-28T13:17:03.600Z","1","10459","7903","325"
"592","USTAZ DAHALAN","","2","L","05400","parlimen","null","KLH","2018-04-28T12:21:06.550Z","1","7715","5528","595"
"564","DATUK RAZALI IDRIS","TIADA","37","L","03800","parlimen","null","HD","2018-04-28T12:28:02.620Z","1","3364","2868","871"
"39","IR LIM CHIN WAH","JURUTERA","1","L","10227","dun","null","HD","2018-04-28T13:27:09.460Z","3","5874","35538","286"
"148","GAN PING SIEU ","","1","L","15200","parlimen","null","KLH","2018-04-28T11:44:41.143Z","3","24618","23053","921"
"549","TAN SRI MUHYIDDIN YASSIN","","37","L","14300","parlimen","null","MNG","2018-04-28T13:56:44.427Z","2","23558","6927","693"
"85","HAJI ABDUL HALIM BIN OMAR","","2","L","10841","dun","null","KLH","2018-04-28T12:24:13.320Z","2","7793","15616","379"
"12","DATO' ZEIN ISMA","AHLI PERNIAGAAN","1","L","10738","dun","null","KLH","2018-04-28T12:31:50.393Z","1","8304","12072","307"
"157","DR ABD LATIFF","DOKTOR","1","L","15400","parlimen","null","MNG","2018-04-28T11:44:03.807Z","3","19806","8459","796"
"559","HAJI AHMAD BIN AHEM","","37","L","15126","dun","null","KLH","2018-04-28T13:13:48.200Z","2","8971","404","421"
"589","KHOO POAY TIONG","AHLI POLITIK","37","L","13800","parlimen","null","MNG","2018-04-28T12:48:29.900Z","2","76518","49175","1432"
"36","CIKGU HAJI SALLEH HUSIN","GURU BERSARA","2","L","09300","parlimen","null","KLH","2018-04-28T12:26:24.580Z","1","7220","714","564"
"574","TEOH KOK SIANG","","97","L","05235","dun","null","HD","2018-04-28T13:07:25.160Z","5","116","17273","235"
"591","MOHD AMRAN IBRAHIM","","37","L","07758","dun","null","KLH","2018-04-28T12:31:44.940Z","3","6144","2183","350"
"246","DR IZANI","","2","L","02005","dun","null","MNG","2018-04-28T12:37:59.133Z","3","9998","4717","222"
"608","SHAHIRUDDIN BIN AB MOIN","AHLI MAJLIS MESYUARAT KERAJAAN NEGERI PAHANG","1","L","08008","dun","null","MNG","2018-04-28T12:40:52.010Z","2","6294","3832","210"
"548","CIKGU MURUGAN ","","37","L","15127","dun","null","KLH","2018-04-28T12:31:22.870Z","3","7085","364","336"
"30","LEONG KIM SOON","AHLI PERNIAGAAN","1","L","09900","parlimen","null","KLH","2018-04-28T12:25:31.650Z","3","12351","41956","608"
"594","ZULHASNAN BIN RAFIQUE","AHLI PERNIAGAAN","1","L","11800","parlimen","null","KLH","2018-04-28T10:55:51.633Z","3","20099","14372","339"
"285","HAJJAH ROZANA ","AHLI PERNIAGAAN","1","P","11253","dun","null","KLH","2018-04-28T12:37:59.360Z","2","8883","2117","352"
"563","NURUL ISLAM BIN MOHAMED YUSOFF","BEKERJA SENDIRI","2","L","09900","parlimen","null","KLH","2018-04-28T12:25:31.650Z","2","9598","41956","608"
"542","NORLIZA NGADIRAN","","37","P","15700","parlimen","null","KLH","2018-04-28T14:35:56.470Z","1","10412","11417","557"
"63","DR MOHD ZUHDI BIN MARSUKI","","2","L","10800","parlimen","null","KLH","2018-04-28T12:24:20.697Z","1","15194","33849","664"
"597","AB WAHAB BIN AB LATIP","TIADA","1","L","13509","dun","null","KLH","2018-04-28T12:49:09.920Z","3","4450","763","202"
"163","RAVEN KUMAR KRISHNASAMY","","1","L","15433","dun","null","MNG","2018-04-28T11:45:08.853Z","2","12309","5765","550"
"603","A. SIVANESAN","","37","L","07757","dun","null","MNG","2018-04-28T12:31:48.810Z","3","9631","6493","286"
"612","USTAZ MAD CHINA","SENDIRI","2","L","09816","dun","null","KLH","2018-04-28T13:05:49.833Z","3","4530","11374","277"
"576","SHARIFAH HASLIZAH BINTI SYED ARIFFIN","BEKERJA SENDIRI","2","P","09919","dun","null","HD","2018-04-28T12:28:11.647Z","1","2311","25512","268"
"615","USTAZ YUSNI","","2","L","04101","dun","null","MNG","2018-04-28T12:42:00.530Z","1","8530","1132","843"
"573","CHOW KON YEOW","","37","L","04900","parlimen","null","MNG","2018-04-28T12:47:30.190Z","2","34663","29599","347"
"38","SALWA HJ. YUNUS","AKAUNTAN","1","P","09919","dun","null","KLH","2018-04-28T12:28:11.647Z","4","5380","25512","268"
"70","CHEW HIAN TAT","AHLI PERNIAGAAN","1","L","10500","parlimen","null","KLH","2018-04-28T12:35:01.330Z","2","21847","57137","968"
"139","ONN HAFIZ BIN GHAZI","","1","L","15127","dun","null","MNG","2018-04-28T12:31:22.870Z","2","7449","364","336"
"582","CHOW KON YEOW","","37","L","04926","dun","null","MNG","2018-04-28T12:43:52.217Z","3","9278","7808","130"
"121","WONG YOU FONG","","1","P","16146","dun","null","KLH","2018-04-28T14:43:39.393Z","2","13059","19533","524"
"613","SALMAH BINTI AB LATIFF","","2","P","07248","dun","null","KLH","2018-04-28T11:50:59.963Z","2","2993","2087","409"
"623","ISMAIL BIN ARIFFIN","","2","L","07100","parlimen","null","KLH","2018-04-28T13:06:24.303Z","2","11165","29778","853"
"620","HJ. AZNEL HJ. IBRAHIM","","1","L","05401","dun","null","MNG","2018-04-28T12:17:13.037Z","1","5716","2375","307"
"170","DATUK SERI DR. ADHAM BIN BABA","","1","L","15500","parlimen","null","MNG","2018-04-28T13:29:37.843Z","3","20142","5933","664"
"619","USTAZ ABDULLAH HUSIN","","2","L","15800","parlimen","null","HD","2018-04-28T11:50:21.613Z","3","12098","37225","274"
"59","LEE YEE YUAN","-","1","L","09304","dun","null","KLH","2018-04-28T12:26:57.770Z","3","5019","2844","201"
"119","DATUK NUR JAZLAN BIN MOHAMED","","1","L","16100","parlimen","null","KLH","2018-04-28T14:46:25.053Z","3","26523","28924","966"
"626","TAN CHEN CHOON","","37","L","14002","dun","null","MNG","2018-04-28T12:21:17.163Z","2","16336","7001","557"
"601","ONG SIANG LIANG","PEGUAM","1","L","11400","parlimen","null","HD","2018-04-28T11:32:57.783Z","2","4888","51628","323"
"625","KONG TUCK WAH","TIADA","2","L","09714","dun","null","HD","2018-04-28T13:17:00.343Z","1","2259","23860","366"
"598","TONY PUA","","37","L","10600","parlimen","null","MNG","2018-04-28T11:56:12.817Z","2","121283","106903","867"
"611","NORSAMSU MOHD YUSOF","","37","L","14001","dun","null","KLH","2018-04-28T11:43:32.423Z","2","8309","877","341"
"204","USTAZ DR. NIK ZAWAWI","PENIAGA","2","L","02800","parlimen","null","MNG","2018-04-28T11:23:04.203Z","2","32307","1360","923"
"78","JUMAEAH BINTI MASDI","PESARA","1","P","10840","dun","null","KLH","2018-04-28T12:24:04.073Z","1","8924","17004","279"
"639","DATO HASBULLAH OSMAN","","1","L","05400","parlimen","null","MNG","2018-04-28T12:21:06.550Z","2","13243","5528","595"
"214","TOK WAN HASSAN","TIADA","2","L","02831","dun","null","MNG","2018-04-28T11:30:33.060Z","3","8278","632","260"
"638","DATO' AMINUDDIN BIN OMAR (PAK TAM)","TIADA","1","L","00606","dun","null","KLH","2018-04-28T11:49:07.563Z","3","8003","10849","333"
"8","ZURAIDA KAMARUDDIN","TIADA","37","P","09900","parlimen","null","MNG","2018-04-28T12:25:31.650Z","4","54307","41956","608"
"136","ABD TAIB BIN ABU BAKAR","","1","L","15126","dun","null","MNG","2018-04-28T13:13:48.200Z","1","9375","404","421"
"614","RADHI MAT DIN","TIADA","2","L","00800","parlimen","null","KLH","2018-04-28T12:22:47.420Z","3","23401","5558","869"
"242","NG SIOK HWA","AHLI PERNIAGAAN","1","P","11252","dun","null","KLH","2018-04-28T12:37:37.903Z","1","4547","17299","386"
"628","KOAY TENG LYE","","97","L","04927","dun","null","HD","2018-04-28T13:03:06.993Z","5","82","13390","166"
"580","HENG LEE LEE","","37","P","04513","dun","null","MNG","2018-04-28T11:57:49.317Z","1","18378","16981","202"
"23","HEE LOY SIAN","","37","L","10225","dun","null","MNG","2018-04-28T13:26:54.693Z","1","39055","30755","375"
"644","NORDIN BIN HASSAN","","2","L","07247","dun","null","HD","2018-04-28T11:50:57.687Z","2","1735","39","365"
"637","WONG CHIN CHONG","","1","L","05134","dun","null","HD","2018-04-28T12:18:15.047Z","1","4126","31189","235"
"117","MEJAR (B) CHONG AH WATT","AHLI PERNIAGAAN","1","L","10431","dun","null","HD","2018-04-28T13:08:47.557Z","3","7082","48272","332"
"618","DATO' ROSOL BIN WAHID","TIADA","1","L","03800","parlimen","null","MNG","2018-04-28T12:28:02.620Z","2","30925","2868","871"
"653","MUHAMAD SAID JONIT","","37","L","15229","dun","null","MNG","2018-04-28T11:45:00.333Z","2","19507","1668","550"
"210","DATO' SULAIMAN BIN MOHD KARLI","AHLI PERNIAGAAN","1","L","11251","dun","null","KLH","2018-04-28T12:37:23.607Z","2","10420","1677","458"
"534","TEO NIE CHING","","37","P","16300","parlimen","null","MNG","2018-04-28T12:36:44.470Z","3","55312","32748","976"
"217","USTAZ RODZI","TIADA","2","L","02832","dun","null","MNG","2018-04-28T11:29:36.143Z","1","7533","1577","177"
"388","DATUK ABDUL SHUKUR BIN IDRUS","BEKERJA SENDIRI","1","L","09713","dun","null","KLH","2018-04-28T13:02:49.147Z","1","6985","2860","187"
"662","SALBIAH MOHAMED","","1","P","05402","dun","null","MNG","2018-04-28T12:17:19.210Z","3","7823","3935","339"
"152","CHUA TEE YONG ","","1","L","14200","parlimen","null","KLH","2018-04-28T12:13:47.560Z","3","13301","3408","485"
"57","HAJI AZHARI SHAARI","PENIAGA","1","L","10800","parlimen","null","KLH","2018-04-28T12:24:20.697Z","2","22100","33849","664"
"617","CIKGU MOHD TAUFIK","","2","L","05339","dun","null","HD","2018-04-28T11:07:50.980Z","1","1645","1596","220"
"648","AZMAN BIN ATMIN","","2","L","15840","dun","null","HD","2018-04-28T12:08:26.517Z","1","5366","8098","735"
"40","A. PRAKASH RAO","TIADA","1","L","10700","parlimen","null","KLH","2018-04-28T12:31:34.777Z","1","16681","26634","686"
"627","DATO KHAIRUL","AHLI PERNIAGAAN","1","L","01632","dun","null","KLH","2018-04-28T12:22:42.410Z","3","10993","1581","444"
"651","AHMAD NAWFAL BIN MAHFODZ","","2","L","14300","parlimen","null","HD","2018-04-28T13:56:44.427Z","3","2483","6927","693"
"657","MOKHTAR BIN RAMLY","","2","L","04102","dun","null","KLH","2018-04-28T11:46:31.457Z","2","2986","217","211"
"635","FENDI AHMAD","TIADA","37","L","13823","dun","null","MNG","2018-04-28T12:54:19.960Z","2","7694","1288","166"
"606","ABU BAKAR SIDEKH BIN ZAINUL ABIDIN","","1","L","04410","dun","null","KLH","2018-04-28T11:22:15.677Z","1","8593","7421","268"
"661","RADZI BIN ZAINON","","2","L","07144","dun","null","KLH","2018-04-28T13:05:19.647Z","1","4627","3614","284"
"631","DATO' DR MOHD HAYATI","DOKTOR (PERSENDIRIAN)","2","L","01118","dun","null","MNG","2018-04-28T11:36:27.230Z","3","15941","8049","332"
"658","KHOO KAY TEONG","","1","L","05132","dun","null","KLH","2018-04-28T13:00:12.230Z","1","3342","13211","141"
"236","DATO' SHARIFAH AZIZAH ALSHAHAB","","1","P","15738","dun","null","MNG","2018-04-28T14:36:26.620Z","2","12330","7134","255"
"678","USTAZ ABDULLAH HUSIN","","2","L","15841","dun","null","HD","2018-04-28T11:53:44.457Z","4","2654","24959","546"
"677","CHEW CHONG SIN","","37","L","15228","dun","null","MNG","2018-04-28T11:44:52.927Z","2","29559","19226","560"
"632","DATO' HAJI SABRI","AHLI PERNIAGAAN","1","L","03407","dun","null","MNG","2018-04-28T11:37:44.620Z","1","9007","3446","243"
"641","DR LEE BOON CHYE","","37","L","07100","parlimen","null","MNG","2018-04-28T13:06:24.303Z","1","48923","29778","853"
"44","MOHD IMRAN BIN TAMRIN","PEGUAM","1","L","09303","dun","null","MNG","2018-04-28T12:26:41.537Z","1","10530","2084","362"
"378","CHE JOHAN BIN CHE PA","USAHAWAN","1","L","02212","dun","null","KLH","2018-04-28T12:38:23.040Z","1","5545","4598","380"
"604","TAN KOK WAI","TIADA","37","L","12300","parlimen","null","MNG","2018-04-28T11:04:11.500Z","2","56671","49665","275"
"118","MICHELLE NG MEI SZE","PEGUAM","37","P","10431","dun","null","MNG","2018-04-28T13:08:47.557Z","1","55354","48272","332"
"650","WONG SHU QI","","37","P","15200","parlimen","null","MNG","2018-04-28T11:44:41.143Z","2","47671","23053","921"
"605","SOLLEH RAZAK ","TIADA","2","L","11700","parlimen","null","HD","2018-04-28T11:08:17.797Z","1","4181","45702","289"
"61","CHAI KO THING","PEGUAM","1","L","10534","dun","null","HD","2018-04-28T12:35:50.587Z","3","3531","25835","187"
"56","MUHAMAD NIZAM ","AHLI PERNIAGAAN","1","L","09920","dun","null","KLH","2018-04-28T12:29:14.000Z","4","7722","14790","359"
"685","HAMIDI BIN ISMAIL","","2","L","05401","dun","null","KLH","2018-04-28T12:17:13.037Z","2","3341","2375","307"
