Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1991, 0 - 4,150.8,78.3,72.5
1991, 5 - 9,134.1,69.3,64.8
1991, 10 - 14,107.2,54.9,52.3
1991, 15 - 19,114.3,59.2,55.1
1991, 20 - 24,140.3,73.2,67.1
1991, 25 - 29,147.7,75.4,72.3
1991, 30 - 34,122.2,62.2,60
1991, 35 - 39,96.7,49.3,47.4
1991, 40 - 44,73.4,38.3,35.1
1991, 45 - 49,49.9,26.5,23.4
1991, 50 - 54,39.5,20.8,18.7
1991, 55 - 59,29.7,15.3,14.4
1991, 60 - 64,20.8,10.1,10.8
1991, 65 - 69,14.2,6.4,7.8
1991, 70 - 74,9.5,4,5.5
1991, 75 - 79,6.4,2.8,3.6
1991, 80 - 84,3.3,1.3,2
1991, 85+,1.8,0.7,1.1
1992, 0 - 4,147.5,76.3,71.2
1992, 5 - 9,136.6,70.7,65.9
1992, 10 - 14,115,58.8,56.2
1992, 15 - 19,115.3,59,56.2
1992, 20 - 24,138.8,72.2,66.6
1992, 25 - 29,142.6,73.6,69
1992, 30 - 34,125.9,63.6,62.3
1992, 35 - 39,100.6,51.2,49.5
1992, 40 - 44,76,39.6,36.5
1992, 45 - 49,52.9,28,24.9
1992, 50 - 54,40.5,21.5,19
1992, 55 - 59,30.9,16,14.9
1992, 60 - 64,21.8,10.6,11.1
1992, 65 - 69,14.8,6.8,8
1992, 70 - 74,9.9,4.2,5.7
1992, 75 - 79,6.7,2.8,3.9
1992, 80 - 84,3.5,1.5,2.1
1992, 85+,2.2,0.8,1.4
1993, 0 - 4,145.2,75.2,70
1993, 5 - 9,136.2,70.2,66
1993, 10 - 14,120.1,61.6,58.5
1993, 15 - 19,118.4,60.1,58.4
1993, 20 - 24,137.9,71.3,66.6
1993, 25 - 29,140,72.2,67.8
1993, 30 - 34,128.1,65.2,62.9
1993, 35 - 39,103.4,52.5,50.9
1993, 40 - 44,79.3,41.1,38.3
1993, 45 - 49,55.7,29.6,26.1
1993, 50 - 54,41.7,22.3,19.5
1993, 55 - 59,32,16.6,15.4
1993, 60 - 64,22.7,11.2,11.5
1993, 65 - 69,15.3,7,8.2
1993, 70 - 74,10,4.3,5.7
1993, 75 - 79,6.7,2.8,3.9
1993, 80 - 84,3.7,1.5,2.2
1993, 85+,2.3,0.9,1.4
1994, 0 - 4,142.5,73.7,68.8
1994, 5 - 9,135.6,70,65.7
1994, 10 - 14,122,62.7,59.3
1994, 15 - 19,123.9,62.5,61.4
1994, 20 - 24,138,70.6,67.4
1994, 25 - 29,137.2,70.7,66.5
1994, 30 - 34,129.1,66,63
1994, 35 - 39,106.3,53.9,52.4
1994, 40 - 44,82.2,42.4,39.8
1994, 45 - 49,59.4,31.5,27.9
1994, 50 - 54,42.7,22.9,19.9
1994, 55 - 59,33,17.2,15.8
1994, 60 - 64,23.6,11.8,11.8
1994, 65 - 69,15.8,7.4,8.4
1994, 70 - 74,10.2,4.4,5.7
1994, 75 - 79,6.8,2.8,3.9
1994, 80 - 84,3.7,1.5,2.2
1994, 85+,2.3,0.9,1.4
1995, 0 - 4,140.7,72.4,68.2
1995, 5 - 9,132.6,68.6,64
1995, 10 - 14,123.2,63.4,59.8
1995, 15 - 19,129,64.8,64.2
1995, 20 - 24,138.3,69.9,68.3
1995, 25 - 29,136.6,70.2,66.4
1995, 30 - 34,129.2,66.4,62.8
1995, 35 - 39,108.5,55.1,53.5
1995, 40 - 44,85.7,44,41.7
1995, 45 - 49,62.7,33.2,29.6
1995, 50 - 54,43.8,23.5,20.3
1995, 55 - 59,34.2,17.9,16.3
1995, 60 - 64,24.6,12.4,12.2
1995, 65 - 69,16.5,7.8,8.7
1995, 70 - 74,10.4,4.6,5.8
1995, 75 - 79,6.7,2.7,4
1995, 80 - 84,3.8,1.5,2.2
1995, 85+,2.4,0.9,1.4
1996, 0 - 4,139.5,71.7,67.8
1996, 5 - 9,129.6,67.1,62.5
1996, 10 - 14,122.4,63,59.4
1996, 15 - 19,131.7,66,65.6
1996, 20 - 24,140.8,70.5,70.3
1996, 25 - 29,137.7,70.5,67.2
1996, 30 - 34,128.7,66.2,62.4
1996, 35 - 39,110.5,56.1,54.4
1996, 40 - 44,88.8,45.5,43.3
1996, 45 - 49,65.8,34.6,31.2
1996, 50 - 54,45.7,24.6,21.1
1996, 55 - 59,35.2,18.5,16.7
1996, 60 - 64,25.6,13,12.6
1996, 65 - 69,17.1,8.2,9
1996, 70 - 74,10.6,4.8,5.8
1996, 75 - 79,6.6,2.7,3.9
1996, 80 - 84,3.9,1.5,2.3
1996, 85+,2.4,0.9,1.4
1997, 0 - 4,140.2,72.1,68.1
1997, 5 - 9,125.6,64.9,60.7
1997, 10 - 14,121,62.4,58.5
1997, 15 - 19,132,66.3,65.7
1997, 20 - 24,145.5,72.4,73.2
1997, 25 - 29,140.8,71.5,69.4
1997, 30 - 34,127.3,65.4,61.9
1997, 35 - 39,111.6,56.8,54.7
1997, 40 - 44,91.6,46.8,44.8
1997, 45 - 49,68.6,35.9,32.7
1997, 50 - 54,48,25.8,22.2
1997, 55 - 59,36.1,19.1,17
1997, 60 - 64,26.5,13.5,13
1997, 65 - 69,17.8,8.6,9.3
