Year,Age Group, Total ('000) , Male ('000) , Female ('000) 
1980, 0 - 4,121,62.8,58.2
1980, 5 - 9,104.1,53.7,50.4
1980, 10 - 14,92.4,47.6,44.7
1980, 15 - 19,114.7,59.3,55.4
1980, 20 - 24,139.8,71.8,68
1980, 25 - 29,108.1,55.3,52.8
1980, 30 - 34,79.3,41.8,37.6
1980, 35 - 39,56.6,30.7,25.9
1980, 40 - 44,43.3,23.3,20
1980, 45 - 49,33.4,17.8,15.5
1980, 50 - 54,25.9,13.4,12.5
1980, 55 - 59,19.9,9.9,9.9
1980, 60 - 64,15.2,7.4,7.8
1980, 65 - 69,12.2,5.7,6.5
1980, 70+,8.5,4,4.5
1980, 75 - 79,5.2,2.6,2.7
1980, 80+,3.3,1.3,2
1981, 0 - 4,123.6,64,59.6
1981, 5 - 9,108.2,56,52.1
1981, 10 - 14,98.4,50.3,48
1981, 15 - 19,112.2,58.3,53.9
1981, 20 - 24,138,71.7,66.3
1981, 25 - 29,113.1,57.5,55.7
1981, 30 - 34,82.8,43.1,39.7
1981, 35 - 39,59.4,31.8,27.5
1981, 40 - 44,45.3,24.1,21.1
1981, 45 - 49,33.8,17.7,16
1981, 50 - 54,26.6,13.7,12.9
1981, 55 - 59,20.1,10.1,10
1981, 60 - 64,15.3,7.5,7.9
1981, 65 - 69,12.3,6,6.4
1981, 70+,8.5,3.9,4.6
1981, 75 - 79,5.3,2.5,2.7
1981, 80+,3.4,1.4,2
1982, 0 - 4,125.2,65,60.2
1982, 5 - 9,111.1,57.5,53.7
1982, 10 - 14,102.1,51.7,50.4
1982, 15 - 19,109,55.6,53.4
1982, 20 - 24,135.9,70.6,65.3
1982, 25 - 29,118.7,60.5,58.1
1982, 30 - 34,87.7,45.5,42.1
1982, 35 - 39,62,32.8,29.2
1982, 40 - 44,47.2,25.5,21.7
1982, 45 - 49,35.6,18.6,17
1982, 50 - 54,27.4,14.2,13.2
1982, 55 - 59,20.7,10.3,10.4
1982, 60 - 64,15.6,7.6,8
1982, 65 - 69,12.7,6.1,6.7
1982, 70+,8.5,3.9,4.7
1982, 75 - 79,5.6,2.6,3
1982, 80+,3.7,1.6,2.1
1983, 0 - 4,128.2,66.7,61.4
1983, 5 - 9,112.5,58.4,54.2
1983, 10 - 14,104.8,52.8,52.1
1983, 15 - 19,108.6,54.3,54.3
1983, 20 - 24,131.9,68.1,63.8
1983, 25 - 29,123.5,63.2,60.3
1983, 30 - 34,92.3,47.9,44.4
1983, 35 - 39,65.6,34.5,31.1
1983, 40 - 44,49.4,26.6,22.8
1983, 45 - 49,37,19.4,17.6
1983, 50 - 54,28.7,14.9,13.8
1983, 55 - 59,21.4,10.6,10.8
1983, 60 - 64,16,7.7,8.3
1983, 65 - 69,12.6,6,6.6
1983, 70+,8.9,4,4.9
1983, 75 - 79,5.7,2.6,3.1
1983, 80+,3.8,1.6,2.2
1984, 0 - 4,129.6,67.7,62
1984, 5 - 9,114.5,59.5,55
1984, 10 - 14,108.2,54.4,53.8
1984, 15 - 19,108.3,53.3,54.9
1984, 20 - 24,127.9,64.9,63
1984, 25 - 29,127,65.2,61.8
1984, 30 - 34,96.9,50.1,46.8
1984, 35 - 39,69.7,36.6,33.2
1984, 40 - 44,51.3,27.7,23.6
1984, 45 - 49,38.9,20.5,18.4
1984, 50 - 54,29.8,15.4,14.3
1984, 55 - 59,22.4,11.1,11.3
1984, 60 - 64,16.3,7.9,8.4
1984, 65 - 69,12.6,5.9,6.7
1984, 70+,9,4.1,4.9
1984, 75 - 79,5.8,2.6,3.3
1984, 80+,4,1.7,2.3
1985, 0 - 4,133.1,69.2,63.9
1985, 5 - 9,116.3,60.7,55.6
1985, 10 - 14,110.2,55.8,54.4
